video,beat,start_s,end_s,duration_s,duration_frames,approx_words,start_word,end_word,image
16040.mp4,0,0.0,1.868,1.868,56.0,6.5,0.0,6.5,analysis/frames/16040/16040_beat_0000.png
16040.mp4,1,1.869,3.069,1.2,36.0,4.2,6.5,10.7,analysis/frames/16040/16040_beat_0001.png
16040.mp4,2,3.07,4.537,1.467,44.0,5.1,10.7,15.9,analysis/frames/16040/16040_beat_0002.png
16040.mp4,3,4.538,7.874,3.336,100.0,11.7,15.9,27.5,analysis/frames/16040/16040_beat_0003.png
16040.mp4,4,7.875,12.645,4.77,143.0,16.7,27.5,44.2,analysis/frames/16040/16040_beat_0004.png
16040.mp4,5,12.646,13.679,1.033,31.0,3.6,44.2,47.9,analysis/frames/16040/16040_beat_0005.png
16040.mp4,6,13.68,15.314,1.634,49.0,5.7,47.9,53.6,analysis/frames/16040/16040_beat_0006.png
16040.mp4,7,15.315,20.853,5.538,166.0,19.4,53.6,73.0,analysis/frames/16040/16040_beat_0007.png
16040.mp4,8,20.854,22.355,1.5,45.0,5.2,73.0,78.2,analysis/frames/16040/16040_beat_0008.png
16040.mp4,9,22.356,24.824,2.468,74.0,8.6,78.2,86.8,analysis/frames/16040/16040_beat_0009.png
16040.mp4,10,24.825,26.158,1.334,40.0,4.7,86.8,91.5,analysis/frames/16040/16040_beat_0010.png
16040.mp4,11,26.159,28.561,2.401,72.0,8.4,91.5,99.9,analysis/frames/16040/16040_beat_0011.png
16040.mp4,12,28.562,30.062,1.5,45.0,5.2,99.9,105.2,analysis/frames/16040/16040_beat_0012.png
16040.mp4,13,30.063,33.165,3.102,93.0,10.9,105.2,116.0,analysis/frames/16040/16040_beat_0013.png
16040.mp4,14,33.166,35.902,2.735,82.0,9.6,116.0,125.6,analysis/frames/16040/16040_beat_0014.png
16040.mp4,15,35.903,40.006,4.103,123.0,14.4,125.6,140.0,analysis/frames/16040/16040_beat_0015.png
16040.mp4,16,40.007,41.34,1.334,40.0,4.7,140.0,144.6,analysis/frames/16040/16040_beat_0016.png
16040.mp4,17,41.341,43.209,1.868,56.0,6.5,144.6,151.2,analysis/frames/16040/16040_beat_0017.png
16040.mp4,18,43.21,47.38,4.17,125.0,14.6,151.2,165.8,analysis/frames/16040/16040_beat_0018.png
16040.mp4,19,47.381,50.716,3.336,100.0,11.7,165.8,177.4,analysis/frames/16040/16040_beat_0019.png
16040.mp4,20,50.717,53.519,2.802,84.0,9.8,177.4,187.2,analysis/frames/16040/16040_beat_0020.png
16040.mp4,21,53.52,57.256,3.736,112.0,13.1,187.2,200.3,analysis/frames/16040/16040_beat_0021.png
16040.mp4,22,57.257,60.993,3.736,112.0,13.1,200.3,213.4,analysis/frames/16040/16040_beat_0022.png
16040.mp4,23,60.994,62.295,1.3,39.0,4.5,213.4,217.9,analysis/frames/16040/16040_beat_0023.png
16040.mp4,24,62.296,65.564,3.269,98.0,11.4,217.9,229.4,analysis/frames/16040/16040_beat_0024.png
16040.mp4,25,65.566,66.966,1.4,42.0,4.9,229.4,234.3,analysis/frames/16040/16040_beat_0025.png
16040.mp4,26,66.967,68.301,1.334,40.0,4.7,234.3,239.0,analysis/frames/16040/16040_beat_0026.png
16040.mp4,27,68.302,72.705,4.403,132.0,15.4,239.0,254.4,analysis/frames/16040/16040_beat_0027.png
16040.mp4,28,72.706,76.442,3.736,112.0,13.1,254.4,267.4,analysis/frames/16040/16040_beat_0028.png
16040.mp4,29,76.443,77.176,0.733,22.0,2.6,267.4,270.0,analysis/frames/16040/16040_beat_0029.png
