video,beats,duration,avg,median,min,max
16040.mp4,239,672.1,2.81,2.4,0.6,10.09
16044.mp4,165,751.0,4.55,4.3,0.7,11.78
16048.mp4,204,670.3,3.28,3.07,0.63,10.06
16052.mp4,224,673.0,3.0,2.77,0.63,10.06
16055.mp4,231,624.3,2.7,2.23,0.57,10.03
16060.mp4,218,644.1,2.95,2.67,0.73,10.51
16064.mp4,182,557.2,3.06,2.7,0.67,10.83
16068.mp4,215,707.5,3.29,3.04,0.67,10.08
16072.mp4,220,724.7,3.29,2.97,0.7,10.06
16076.mp4,174,510.9,2.94,2.73,0.7,10.14
16080.mp4,158,637.9,4.04,3.8,0.63,10.21
16084.mp4,192,598.0,3.11,2.87,0.63,10.64
16088.mp4,220,627.0,2.85,2.57,0.73,10.07
16092.mp4,188,647.9,3.45,3.24,0.63,10.64
