event,boundary_frame,timestamp_seconds,timestamp,preceding_shot_duration_seconds,chapter,transition_class,mean_abs_rgb,changed_fraction_gt20,changed_fraction_gt45,nearest_spoken_word,cut_minus_word_start_seconds
1,43,1.4333,00:01.433,1.4333,Precambrian,hard_cut_full_frame,0.445605,0.852969,0.750781,as,-0.0367
2,324,10.8,00:10.800,9.3667,Precambrian,hard_cut_same_palette,0.099432,0.242205,0.17026,and,-0.06
3,378,12.6,00:12.600,1.8,Precambrian,localized_swap_or_pop,0.078742,0.156424,0.135434,you,-0.03
4,471,15.7,00:15.700,3.1,Precambrian,localized_swap_or_pop,0.03075,0.058524,0.047795,since,-0.05
5,731,24.3667,00:24.367,8.6667,Precambrian,hard_cut_full_frame,0.168323,0.612986,0.359948,it's,-0.0533
6,809,26.9667,00:26.967,2.6,Precambrian,hard_cut_full_frame,0.184556,0.647951,0.388941,because,-0.0333
7,935,31.1667,00:31.167,4.2,Precambrian,hard_cut_full_frame,0.228506,0.634983,0.537656,one,-0.0633
8,1039,34.6333,00:34.633,3.4667,Precambrian,hard_cut_full_frame,0.243703,0.651701,0.560538,within,-0.0767
9,1248,41.6,00:41.600,6.9667,Cambrian,hard_cut_full_frame,0.449878,0.855503,0.761441,cambrian,-0.04
10,1271,42.3667,00:42.367,0.7667,Cambrian,hard_cut_same_palette,0.098629,0.250625,0.177639,the,-0.5033
11,1285,42.8333,00:42.833,0.4667,Cambrian,hard_cut_full_frame,0.334673,0.846267,0.74908,the,-0.0367
12,1665,55.5,00:55.500,12.6667,Cambrian,localized_swap_or_pop,0.054988,0.130486,0.097951,the,-0.06
13,1763,58.7667,00:58.767,3.2667,Cambrian,hard_cut_full_frame,0.44482,0.86974,0.839288,because,-0.0633
14,1851,61.7,01:01.700,2.9333,Cambrian,localized_swap_or_pop,0.041392,0.124913,0.079184,hasn't,-0.07
15,1892,63.0667,01:03.067,1.3667,Cambrian,hard_cut_full_frame,0.444583,0.857153,0.803125,by,-0.0233
16,1919,63.9667,01:03.967,0.9,Cambrian,hard_cut_same_palette,0.116788,0.353247,0.276806,your,-0.0533
17,2347,78.2333,01:18.233,14.2667,Cambrian,hard_cut_same_palette,0.085141,0.261372,0.207361,you,-0.0367
18,2405,80.1667,01:20.167,1.9333,Cambrian,hard_cut_same_palette,0.082694,0.280347,0.215694,yourself,-0.1133
19,3229,107.6333,01:47.633,27.4667,Cambrian,hard_cut_same_palette,0.104905,0.372587,0.260226,into,-0.1267
20,3396,113.2,01:53.200,5.5667,Silurian,hard_cut_full_frame,0.344338,0.856892,0.762795,silurian,0.01
21,3419,113.9667,01:53.967,0.7667,Silurian,hard_cut_same_palette,0.098472,0.257118,0.181736,for,-0.5733
22,3435,114.5,01:54.500,0.5333,Silurian,hard_cut_full_frame,0.412585,0.855278,0.803837,for,-0.04
23,4036,134.5333,02:14.533,20.0333,Silurian,hard_cut_full_frame,0.239231,0.813385,0.680174,seeing,-0.0467
24,4098,136.6,02:16.600,2.0667,Silurian,hard_cut_full_frame,0.259235,0.822847,0.712691,you,-0.05
25,4298,143.2667,02:23.267,6.6667,Silurian,localized_swap_or_pop,0.067559,0.16217,0.156372,as,-0.0433
26,4946,164.8667,02:44.867,21.6,Silurian,hard_cut_full_frame,0.191151,0.509253,0.460851,the,-0.1033
27,5104,170.1333,02:50.133,5.2667,Silurian,hard_cut_full_frame,0.574063,0.982865,0.973559,your,-0.0567
28,5203,173.4333,02:53.433,3.3,Silurian,hard_cut_full_frame,0.596811,0.984444,0.975069,your,-0.0567
29,5264,175.4667,02:55.467,2.0333,Silurian,hard_cut_full_frame,0.193753,0.545625,0.475781,and,-0.0933
30,5559,185.3,03:05.300,9.8333,Silurian,hard_cut_full_frame,0.147264,0.48066,0.36684,and,-0.04
31,5577,185.9,03:05.900,0.6,Silurian,hard_cut_full_frame,0.151876,0.555503,0.393247,blurs,0.02
32,5605,186.8333,03:06.833,0.9333,Silurian,hard_cut_full_frame,0.294793,0.698924,0.478819,before,-0.0067
33,5666,188.8667,03:08.867,2.0333,Devonian,hard_cut_full_frame,0.531086,0.772361,0.722031,devonian,-0.0133
34,5688,189.6,03:09.600,0.7333,Devonian,hard_cut_same_palette,0.083253,0.206354,0.151406,your,-0.57
