shot,start_frame,end_frame_exclusive,start_seconds,end_seconds,start_timecode,end_timecode,duration_seconds,chapter,motion_class,sampled_mean_abs_rgb,sampled_changed_fraction,global_translation_total_pct,global_scale_speed_pct_per_s,valid,scale,scale_delta_pct,rotation_deg,translation_x_pct,translation_y_pct,inlier_ratio,residual_mean_abs,residual_changed_fraction
1,0,43,0.0,1.4333,00:00.000,00:01.433,1.4333,Precambrian,character_or_graphic_animation,0.306972,0.61329,40.1481,31.355,True,1.449421,44.9421,0.1743,29.6319,27.0891,0.71014,0.521177,0.632917
2,43,324,1.4333,10.8,00:01.433,00:10.800,9.3667,Precambrian,character_or_graphic_animation,0.037808,0.104262,0.053,0.0003,True,1.000025,0.0025,0.0286,-0.0114,0.0518,0.93418,0.038991,0.123576
3,324,378,10.8,12.6,00:10.800,00:12.600,1.8,Precambrian,character_or_graphic_animation,0.008906,0.035478,0.0142,-0.0009,True,0.999983,-0.0017,0.0064,-0.0104,0.0096,0.93934,0.018873,0.07059
4,378,471,12.6,15.7,00:12.600,00:15.700,3.1,Precambrian,subtle_local_motion,0.016223,0.035069,0.1762,0.0306,True,1.000949,0.0949,-0.0274,-0.0294,-0.1737,0.95401,0.02002,0.051424
5,471,731,15.7,24.3667,00:15.700,00:24.367,8.6667,Precambrian,character_or_graphic_animation,0.029051,0.062275,0.0041,0.0001,True,1.000012,0.0012,0.0012,0.0037,-0.0017,0.95072,0.043468,0.098333
6,731,809,24.3667,26.9667,00:24.367,00:26.967,2.6,Precambrian,subtle_local_motion,0.014221,0.038159,0.1436,0.0879,True,1.002285,0.2285,-0.0071,-0.0562,-0.1322,0.9863,0.014098,0.044427
7,809,935,26.9667,31.1667,00:26.967,00:31.167,4.2,Precambrian,character_or_graphic_animation,0.017463,0.040399,0.0063,0.0012,True,1.000049,0.0049,0.0045,-0.0052,-0.0035,0.98855,0.03144,0.073976
8,935,1039,31.1667,34.6333,00:31.167,00:34.633,3.4667,Precambrian,frozen_hold,0.000221,0.0,0.0108,-0.0043,True,0.999851,-0.0149,-0.0005,0.0067,0.0085,0.99523,0.000403,0.0
9,1039,1248,34.6333,41.6,00:34.633,00:41.600,6.9667,Precambrian,character_or_graphic_animation,0.026368,0.059661,0.0177,-0.0015,True,0.999896,-0.0104,-0.0002,0.0176,-0.0021,0.94167,0.045435,0.107517
10,1248,1271,41.6,42.3667,00:41.600,00:42.367,0.7667,Cambrian,character_or_graphic_animation,0.237902,0.51329,31.6934,-0.0443,True,0.99966,-0.034,0.0303,-31.6933,0.0913,0.94499,0.228035,0.322066
11,1271,1285,42.3667,42.8333,00:42.367,00:42.833,0.4667,Cambrian,frozen_hold,0.000287,2.6e-05,0.0059,0.0105,True,1.000049,0.0049,-0.001,-0.0026,-0.0053,1.0,0.000374,3.5e-05
12,1285,1665,42.8333,55.5,00:42.833,00:55.500,12.6667,Cambrian,character_or_graphic_animation,0.029407,0.074661,0.0107,-0.0003,True,0.999957,-0.0043,-0.0013,0.009,-0.0058,0.96283,0.033851,0.090069
13,1665,1763,55.5,58.7667,00:55.500,00:58.767,3.2667,Cambrian,subtle_local_motion,0.009208,0.00494,0.0098,0.0029,True,1.000094,0.0094,0.0034,-0.0091,0.0036,0.98746,0.008382,0.006076
14,1763,1851,58.7667,61.7,00:58.767,01:01.700,2.9333,Cambrian,frozen_hold,0.000151,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99507,9.7e-05,0.0
15,1851,1892,61.7,63.0667,01:01.700,01:03.067,1.3667,Cambrian,frozen_hold,5.4e-05,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.99743,4.2e-05,0.0
16,1892,1919,63.0667,63.9667,01:03.067,01:03.967,0.9,Cambrian,frozen_hold,7.8e-05,0.0,0.0,0.0,True,1.0,0.0,-0.0,0.0,0.0,0.99919,5.7e-05,0.0
17,1919,2347,63.9667,78.2333,01:03.967,01:18.233,14.2667,Cambrian,character_or_graphic_animation,0.022253,0.04967,0.0358,-0.0021,True,0.999704,-0.0296,0.0021,0.0216,0.0286,0.91534,0.034011,0.078733
